Pso(size=(60, 2), problem=RasterProblem(name='venezuela', optimization_type=<OptimizationType.MAXIMIZATION: 1>), parameters={'iterations': 150, 'inertia': 0.1, 'r_one_factor': 1.5, 'r_two_factor': 3}),[27.3924 26.0561 27.3902],[18.615  17.6295 18.615 ]
Fwa(size=(5, 2), problem=RasterProblem(name='venezuela', optimization_type=<OptimizationType.MAXIMIZATION: 1>), parameters={'e': 0.001, 'm': 50, 'a_hat': 500, 'n_explosion': 50}),[26.4763 26.0449 27.3893],[17.7755 17.6295 18.615 ]
Simulated(size=(2, 2), problem=RasterProblem(name='venezuela', optimization_type=<OptimizationType.MAXIMIZATION: 1>), parameters={'to': 20, 'ta': 0.001, 'delta': 0.97}),[26.5941 27.3257 27.261 ],[18.323 18.907 18.761]
Ga_v3(size=(6, 2), problem=RasterProblem(name='venezuela', optimization_type=<OptimizationType.MAXIMIZATION: 1>), parameters={'cross_rate': 0.4, 'mutation_rate': 0.9, 'mut_genes': 3, 'randomness': 60, 'decreasing': 0.987, 'rnd_thold': 2, 'generations': 200, 'cromosome_len': 3, 'elite_size': 5}),[26.6022 26.6042 26.6206],[18.177 18.177 18.177]
HillClimbing(size=(60, 2), problem=RasterProblem(name='venezuela', optimization_type=<OptimizationType.MAXIMIZATION: 1>), parameters={'step': 7, 'iterations': 200, 'beta': 0.4}),[27.3889 26.5755 26.8736],[18.615  18.177  18.7975]
HybridGa(size=(6, 2), problem=RasterProblem(name='venezuela', optimization_type=<OptimizationType.MAXIMIZATION: 1>), parameters={'cross_rate': 0.4, 'mutation_rate': 0.7, 'mut_genes': 4, 'randomness': 60, 'decreasing': 0.99, 'rnd_thold': 2, 'generations': 200, 'cromosome_len': 5, 'elite_size': 1, 'step': 10, 'beta': 0.3, 'improve': 0.8}),[27.3635 27.2385 27.2998],[18.5785 18.761  18.834 ]
