[27.2743 27.2743 27.2743],[27.2743 27.2743 27.2743],
[27.2136 26.9846 27.2738],[27.2136 26.9846 27.2738],
[27.2609 27.0031 27.2714],[27.2609 27.0031 27.2714],
[27.2539 27.2556 27.2719],[27.2539 27.2556 27.2719],
[27.2739 27.2738 27.2741],[27.2739 27.2738 27.2741],
[27.2733 27.2719 27.2679],[27.2733 27.2719 27.2679],
